sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
017	1.0	9.0	9.0	9.0	9.0	9.0	9.0
017	2.0	9.0	9.0	9.0	9.0	8.0	9.0
017	3.0	7.0	9.0	9.0	9.0	9.0	6.0
017	4.0	5.0	9.0	9.0	9.0	9.0	4.0
017	5.0	9.0	9.0	9.0	9.0	9.0	9.0
093	1.0	9.0	9.0	5.0	6.0	9.0	4.0
093	2.0	9.0	8.0	4.0	6.0	3.0	7.0
093	3.0	5.0	9.0	8.0	9.0	5.0	6.0
093	4.0	9.0	9.0	4.0	9.0	7.0	9.0
093	5.0	9.0	8.0	6.0	9.0	9.0	8.0
035	1.0	6.0	9.0	8.0	8.0	2.0	6.0
035	2.0	6.0	5.0	5.0	8.0	9.0	9.0
035	3.0	4.0	9.0	8.0	8.0	6.0	6.0
035	4.0	9.0	9.0	4.0	8.0	9.0	9.0
124	1.0	9.0	7.0	2.0	8.0	7.0	5.0
124	2.0	4.0	4.0	6.0	5.0	4.0	1.0
124	3.0	6.0	9.0	5.0	6.0	6.0	4.0
124	4.0	1.0	1.0	6.0	3.0	6.0	1.0
124	5.0	3.0	8.0	9.0	9.0	6.0	9.0
111	1.0	9.0	9.0	9.0	9.0	9.0	8.0
111	2.0	8.0	9.0	8.0	8.0	8.0	9.0
111	3.0	9.0	9.0	9.0	9.0	8.0	9.0
111	4.0	6.0	9.0	9.0	9.0	9.0	8.0
111	5.0	7.0	9.0	7.0	8.0	7.0	6.0
105	1.0	7.0	9.0	6.0	9.0	9.0	9.0
105	2.0	7.0	9.0	9.0	5.0	6.0	9.0
105	3.0	5.0	9.0	8.0	8.0	9.0	9.0
105	4.0	7.0	4.0	9.0	8.0	4.0	6.0
105	5.0	6.0	9.0	6.0	7.0	4.0	2.0
133	1.0	9.0	9.0	9.0	9.0	9.0	9.0
133	2.0	9.0	9.0	9.0	9.0	9.0	9.0
133	3.0	9.0	9.0	9.0	9.0	9.0	9.0
133	4.0	9.0	9.0	9.0	9.0	9.0	9.0
133	5.0	7.0	9.0	9.0	9.0	9.0	9.0
103	1.0	8.0	9.0	8.0	9.0	7.0	8.0
103	2.0	9.0	9.0	9.0	7.0	9.0	8.0
103	3.0	6.0	8.0	7.0	9.0	9.0	9.0
103	4.0	7.0	9.0	5.0	6.0	4.0	9.0
