sub	run	n_vol	n_censor	p_censor	n_vol_interest	n_censor_interest	p_censor_interest
017	1.0	78.0	1.0	1.3	54.0	0.0	0.0
017	2.0	78.0	3.0	3.8	54.0	1.0	1.9
017	3.0	78.0	9.0	11.5	54.0	5.0	9.3
017	4.0	78.0	11.0	14.1	54.0	9.0	16.7
017	5.0	78.0	4.0	5.1	54.0	0.0	0.0
093	1.0	78.0	23.0	29.5	54.0	12.0	22.2
093	2.0	78.0	29.0	37.2	54.0	17.0	31.5
093	3.0	78.0	20.0	25.6	54.0	12.0	22.2
093	4.0	78.0	14.0	17.9	54.0	7.0	13.0
093	5.0	78.0	9.0	11.5	54.0	5.0	9.3
035	1.0	77.0	29.0	37.7	54.0	15.0	27.8
035	2.0	78.0	15.0	19.2	54.0	12.0	22.2
035	3.0	78.0	13.0	16.7	54.0	13.0	24.1
035	4.0	77.0	8.0	10.4	54.0	6.0	11.1
124	1.0	78.0	18.0	23.1	54.0	16.0	29.6
124	2.0	78.0	45.0	57.7	54.0	30.0	55.6
124	3.0	78.0	28.0	35.9	54.0	18.0	33.3
124	4.0	78.0	53.0	67.9	54.0	36.0	66.7
124	5.0	78.0	13.0	16.7	54.0	10.0	18.5
111	1.0	78.0	1.0	1.3	54.0	1.0	1.9
111	2.0	78.0	6.0	7.7	54.0	4.0	7.4
111	3.0	78.0	2.0	2.6	54.0	1.0	1.9
111	4.0	78.0	7.0	9.0	54.0	4.0	7.4
111	5.0	78.0	13.0	16.7	54.0	10.0	18.5
105	1.0	78.0	7.0	9.0	54.0	5.0	9.3
105	2.0	78.0	15.0	19.2	54.0	9.0	16.7
105	3.0	78.0	9.0	11.5	54.0	6.0	11.1
105	4.0	78.0	25.0	32.1	54.0	16.0	29.6
105	5.0	78.0	35.0	44.9	54.0	20.0	37.0
133	1.0	78.0	1.0	1.3	54.0	0.0	0.0
133	2.0	78.0	0.0	0.0	54.0	0.0	0.0
133	3.0	78.0	2.0	2.6	54.0	0.0	0.0
133	4.0	78.0	0.0	0.0	54.0	0.0	0.0
133	5.0	78.0	2.0	2.6	54.0	2.0	3.7
103	1.0	78.0	8.0	10.3	54.0	5.0	9.3
103	2.0	78.0	5.0	6.4	54.0	3.0	5.6
103	3.0	78.0	12.0	15.4	54.0	6.0	11.1
103	4.0	78.0	20.0	25.6	54.0	14.0	25.9
103	5.0	78.0	16.0	20.5	54.0	12.0	22.2
021	1.0	78.0	5.0	6.4	54.0	3.0	5.6
021	2.0	78.0	4.0	5.1	54.0	1.0	1.9
021	3.0	78.0	6.0	7.7	54.0	1.0	1.9
021	4.0	78.0	17.0	21.8	54.0	8.0	14.8
021	5.0	78.0	1.0	1.3	54.0	0.0	0.0
048	1.0	78.0	4.0	5.1	54.0	2.0	3.7
048	2.0	78.0	1.0	1.3	54.0	0.0	0.0
048	3.0	78.0	4.0	5.1	54.0	2.0	3.7
048	4.0	78.0	2.0	2.6	54.0	2.0	3.7
048	5.0	78.0	6.0	7.7	54.0	3.0	5.6
022	1.0	78.0	1.0	1.3	54.0	1.0	1.9
022	2.0	78.0	2.0	2.6	54.0	2.0	3.7
022	3.0	78.0	3.0	3.8	54.0	3.0	5.6
022	4.0	78.0	8.0	10.3	54.0	5.0	9.3
022	5.0	78.0	0.0	0.0	54.0	0.0	0.0
119	1.0	78.0	0.0	0.0	54.0	0.0	0.0
119	2.0	78.0	1.0	1.3	54.0	1.0	1.9
119	3.0	78.0	1.0	1.3	54.0	0.0	0.0
119	4.0	78.0	2.0	2.6	54.0	2.0	3.7
119	5.0	78.0	5.0	6.4	54.0	2.0	3.7
096	1.0	78.0	14.0	17.9	54.0	8.0	14.8
096	2.0	78.0	9.0	11.5	54.0	2.0	3.7
096	3.0	78.0	17.0	21.8	54.0	13.0	24.1
096	4.0	78.0	9.0	11.5	54.0	3.0	5.6
096	5.0	78.0	1.0	1.3	54.0	0.0	0.0
116	1.0	78.0	0.0	0.0	54.0	0.0	0.0
116	2.0	78.0	0.0	0.0	54.0	0.0	0.0
116	3.0	78.0	0.0	0.0	54.0	0.0	0.0
116	4.0	78.0	0.0	0.0	54.0	0.0	0.0
116	5.0	78.0	0.0	0.0	54.0	0.0	0.0
075	1.0	78.0	11.0	14.1	54.0	3.0	5.6
075	2.0	78.0	2.0	2.6	54.0	0.0	0.0
075	3.0	78.0	19.0	24.4	54.0	11.0	20.4
075	4.0	78.0	7.0	9.0	54.0	4.0	7.4
075	5.0	78.0	17.0	21.8	54.0	12.0	22.2
007	1.0	78.0	17.0	21.8	54.0	10.0	18.5
007	2.0	78.0	25.0	32.1	54.0	15.0	27.8
007	3.0	78.0	25.0	32.1	54.0	14.0	25.9
007	4.0	78.0	29.0	37.2	54.0	17.0	31.5
007	5.0	78.0	35.0	44.9	54.0	19.0	35.2
078	1.0	78.0	7.0	9.0	54.0	5.0	9.3
078	2.0	78.0	5.0	6.4	54.0	3.0	5.6
078	3.0	78.0	8.0	10.3	54.0	7.0	13.0
078	4.0	78.0	8.0	10.3	54.0	6.0	11.1
